Nuts_Sample_Code,Project,Sample Date,Transect,Station,Latitude,Longitude,DepthorPressure (m),NO3 (um),NO2 (um)
011614NH03,NH,16-Jan-14,Newport Hydrographic,NH03,44.6517,-124.13,0,13.5011,0.3401
011614NH01,NH,16-Jan-14,Newport Hydrographic,NH01,44.6517,-124.1,0,13.8042,0.3437
020414NH01,NH,04-Feb-14,Newport Hydrographic,NH01,44.6517,-124.1,0,11.1976,0.2715
020414NH03,NH,04-Feb-14,Newport Hydrographic,NH03,44.6517,-124.13,0,10.4633,0.2571
022314NH01,NH,23-Feb-14,Newport Hydrographic,NH01,44.6517,-124.1,0,8.7918,0.3337
022314NH03,NH,23-Feb-14,Newport Hydrographic,NH03,44.6517,-124.13,0,9.6744,0.3196
040114NH01,NH,01-Apr-14,Newport Hydrographic,NH01,44.6517,-124.1,0,5.383,0.1734
040114NH03,NH,01-Apr-14,Newport Hydrographic,NH03,44.6517,-124.13,0,6.1593,0.1586
040814NH01,NH,08-Apr-14,Newport Hydrographic,NH01,44.6517,-124.1,0,6.4293,0.1838
040814NH03,NH,08-Apr-14,Newport Hydrographic,NH03,44.6517,-124.13,0,8.8929,0.2055
042514NH03,NH,25-Apr-14,Newport Hydrographic,NH03,44.6517,-124.13,0,1.1346,0.0599
042514NH01,NH,25-Apr-14,Newport Hydrographic,NH01,44.6517,-124.1,0,0.975,0.0648
050614NH03,NH,06-May-14,Newport Hydrographic,NH03,44.6517,-124.13,0,1.062,0.0755
050614NH01,NH,06-May-14,Newport Hydrographic,NH01,44.6517,-124.1,0,0.7107,0.0492
051914NH01,NH,19-May-14,Newport Hydrographic,NH01,44.6517,-124.1,0,0.0313,0.0825
051914NH03,NH,19-May-14,Newport Hydrographic,NH03,44.6517,-124.13,0,0.0733,0.0589
061114NH01,NH,11-Jun-14,Newport Hydrographic,NH01,44.6517,-124.1,0,32.388,0.2163
061114NH03,NH,11-Jun-14,Newport Hydrographic,NH03,44.6517,-124.13,0,28.5175,0.2268
070614NH01,NH,06-Jul-14,Newport Hydrographic,NH01,44.6517,-124.1,0,3.4983,0.2414
070614NH03,NH,06-Jul-14,Newport Hydrographic,NH03,44.6517,-124.13,0,1.0805,0.1704
072214NH01,NH,22-Jul-14,Newport Hydrographic,NH01,44.6517,-124.1,0,0.0401,0.1737
072214NH03,NH,22-Jul-14,Newport Hydrographic,NH03,44.6517,-124.13,0,0.1116,0.1005
080614NH01,NH,06-Aug-14,Newport Hydrographic,NH01,44.6517,-124.1,0,5.8488,0.4907
080614NH03,NH,06-Aug-14,Newport Hydrographic,NH03,44.6517,-124.13,0,4.1465,0.2888
082014NH01,NH,20-Aug-14,Newport Hydrographic,NH01,44.6517,-124.1,0,14.1122,0.285
082014NH03,NH,20-Aug-14,Newport Hydrographic,NH03,44.6517,-124.13,0,1.6651,0.1577
090714NH01,NH,07-Sep-14,Newport Hydrographic,NH01,44.6517,-124.1,0,7.1584,0.3107
090714NH03,NH,07-Sep-14,Newport Hydrographic,NH03,44.6517,-124.13,0,13.0122,0.3332
090714NH01,NH,07-Sep-14,Newport Hydrographic,NH01,44.6517,-124.1,0,7.1584,0.3107
093014NH03,Ship of Opportunity,30-Sep-14,Newport Hydrographic,NH03,44.65247,-124.1299,1,0.7591,0.0562
093014NH01,Ship of Opportunity,30-Sep-14,Newport Hydrographic,NH01,44.6513,-124.103,1,0.4297,0.057
093014NH01,Ship of Opportunity,30-Sep-14,Newport Hydrographic,NH01,44.6513,-124.103,11,0.5716,0.16
093014NH03,Ship of Opportunity,30-Sep-14,Newport Hydrographic,NH03,44.65247,-124.1299,10,1.1538,0.1584
