Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
OC1404B,CE01,CE01ISSM-00001,44.65850,-124.09567,2014-04-17T18:42:34.000Z,1,*0000000000000100,25,cast_001,*0000000000000100,1,*0000000000000100,2014-04-17T18:46:02.000Z,22.74,*0000000000000100,22.56,44.65838,-124.09586,8.8510,*0000000000000100,8.7892,*0000000000000100,3.5753,*0000000010000100,3.5398,*0000000010000100,33.6718,33.3592,3.34,*0000000010000100,6.53,0.06,*0000000010000100,13.8155,-9999999,*0000000000010001,-9999999,-9999999,3.168,*0000000000000100,*0000000000001000,1.796,1.618,1.542,*0000000000000100,*0000000000001000,1.991,32.54,22.4219,0.538,0.547,*0000000000000100,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2238.588391,*0000000000000101,*0000000000000100,796.37,22.3,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2254.33,-9999999,-9999999,7.766,36.71,2083.5,67.94,1.583,1.026
OC1404B,CE01,CE01ISSM-00001,44.65850,-124.09567,2014-04-17T18:42:34.000Z,1,*0000000000000100,25,cast_001,*0000000000000100,1,*0000000000000100,2014-04-17T18:46:02.000Z,22.74,*0000000000000100,22.56,44.65838,-124.09586,8.8510,*0000000000000100,8.7892,*0000000000000100,3.5753,*0000000000000100,3.5398,*0000000000000100,33.6718,33.3592,3.34,*0000000010000100,6.53,0.06,*0000000010000100,13.8155,-9999999,*0000000000010001,-9999999,-9999999,3.191,*0000000000000100,*0000000000001000,1.934,1.741,1.542,*0000000000000100,*0000000000001000,2.012,32.54,22.5788,0.524,0.727,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
OC1404B,CE01,CE01ISSM-00001,44.65850,-124.09567,2014-04-17T18:42:34.000Z,1,*0000000000000100,25,cast_001,*0000000000000100,5,*0000000000000100,2014-04-17T18:48:42.000Z,12.32,*0000000000000100,12.22,44.65811,-124.09589,10.2325,*0000000000000100,10.2719,*0000000000000100,3.5614,*0000000010000100,3.6124,*0000000010000100,32.2643,32.7430,5.55,*0000000010000100,6.39,0.17,*0000000010000100,13.8155,-9999999,*0000000000010001,-9999999,-9999999,5.253,*0000000000000100,*0000000000001000,5.853,1.669,1.801,*0000000000000100,*0000000000001000,1.285,18.33,11.3926,0.365,0.708,*0000000000000100,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2134.886425,*0000000000000101,*0000000000000100,500.45,22.3,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2219.18,-9999999,-9999999,7.948,21.97,1964.78,101.54,2.386,1.551
OC1404B,CE01,CE01ISSM-00001,44.65850,-124.09567,2014-04-17T18:42:34.000Z,1,*0000000000000100,25,cast_001,*0000000000000100,5,*0000000000000100,2014-04-17T18:48:42.000Z,12.32,*0000000000000100,12.22,44.65811,-124.09589,10.2325,*0000000000000100,10.2719,*0000000000000100,3.5614,*0000000000000100,3.6124,*0000000000000100,32.2643,32.7430,5.55,*0000000010000100,6.39,0.17,*0000000010000100,13.8155,-9999999,*0000000000010001,-9999999,-9999999,5.097,*0000000000000100,*0000000000001000,5.669,1.996,1.762,*0000000000000100,*0000000000001000,1.263,17.99,11.5620,0.392,0.726,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
OC1404B,CE01,CE01ISSM-00001,44.65850,-124.09567,2014-04-17T18:42:34.000Z,1,*0000000000000100,25,cast_001,*0000000000000100,9,*0000000000000100,2014-04-17T18:50:00.000Z,3.09,*0000000000000100,3.06,44.65828,-124.09600,10.4299,*0000000000000100,10.5382,*0000000000000100,3.5847,*0000000010000100,3.6183,*0000000010000100,32.3267,32.5671,6.24,*0000000010000100,6.36,0.18,*0000000010000100,13.8155,-9999999,*0000000000010001,-9999999,-9999999,5.833,*0000000000000100,*0000000000001000,7.836,1.491,1.865,*0000000000000100,*0000000000001000,1.010,13.98,7.4443,0.321,0.345,*0000000000000100,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2104.053068,*0000000000000101,*0000000000000100,436.46,22.3,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2208.57,-9999999,-9999999,8,19.09,1926.6,112.48,2.644,1.719
OC1404B,CE01,CE01ISSM-00001,44.65850,-124.09567,2014-04-17T18:42:34.000Z,1,*0000000000000100,25,cast_001,*0000000000000100,9,*0000000000000100,2014-04-17T18:50:00.000Z,3.09,*0000000000000100,3.06,44.65828,-124.09600,10.4299,*0000000000000100,10.5382,*0000000000000100,3.5847,*0000000000000100,3.6183,*0000000000000100,32.3267,32.5671,6.24,*0000000010000100,6.36,0.18,*0000000010000100,13.8155,-9999999,*0000000000010001,-9999999,-9999999,5.881,*0000000000000100,*0000000000001000,7.467,1.622,1.846,*0000000000000100,*0000000000001000,0.993,14.48,7.6042,0.302,0.249,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
OC1404B,CE01,CE01ISSP-00001,44.65900,-124.09983,2014-04-17T22:37:33.000Z,2,*0000000000000100,29,cast_002,*0000000000000100,3,*0000000000000100,2014-04-17T22:40:46.000Z,28.98,*0000000000000100,28.74,44.65908,-124.09963,8.5797,*0000000000000100,8.5940,*0000000000000100,3.5395,*0000000010000100,3.5299,*0000000010000100,33.5515,33.4363,3.13,*0000000010000100,6.58,0.43,*0000000010000100,13.8155,-9999999,*0000000000010001,-9999999,-9999999,3.268,*0000000000001001,*0000000000001000,2.810,3.097,1.490,*0000000000000100,*0000000000001000,1.989,31.70,22.4595,0.469,0.439,*0000000000000100,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2230.988975,*0000000000000101,*0000000000000100,778.26,22.3,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2248.27,-9999999,-9999999,7.773,36.14,2076.16,68.38,1.593,1.032
OC1404B,CE01,CE01ISSP-00001,44.65900,-124.09983,2014-04-17T22:37:33.000Z,2,*0000000000000100,29,cast_002,*0000000000000100,3,*0000000000000100,2014-04-17T22:40:46.000Z,28.98,*0000000000000100,28.74,44.65908,-124.09963,8.5797,*0000000000000100,8.5940,*0000000000000100,3.5395,*0000000000000100,3.5299,*0000000000000100,33.5515,33.4363,3.13,*0000000010000100,6.58,0.43,*0000000010000100,13.8155,-9999999,*0000000000010001,-9999999,-9999999,3.321,*0000000000000100,*0000000000001000,2.695,3.212,1.470,*0000000000000100,*0000000000001000,1.943,31.20,21.7382,0.444,0.992,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
OC1404B,CE01,CE01ISSP-00001,44.65900,-124.09983,2014-04-17T22:37:33.000Z,2,*0000000000000100,29,cast_002,*0000000000000100,5,*0000000000000100,2014-04-17T22:42:21.000Z,11.94,*0000000000000100,11.85,44.65928,-124.09970,10.5136,*0000000000000100,10.6333,*0000000000000100,3.5627,*0000000010000100,3.6260,*0000000010000100,32.0299,32.5549,5.98,*0000000010000100,6.36,0.18,*0000000010000100,13.8155,-9999999,*0000000000010001,-9999999,-9999999,4.840,*0000000000000100,*0000000000001000,5.092,2.026,1.737,*0000000000000100,*0000000000001000,1.245,16.49,10.7579,0.347,0.715,*0000000000000100,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2144.657841,*0000000000000101,*0000000000000100,513.06,22.4,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2228.4,-9999999,-9999999,7.941,22.24,1974.25,101.64,2.392,1.556
OC1404B,CE01,CE01ISSP-00001,44.65900,-124.09983,2014-04-17T22:37:33.000Z,2,*0000000000000100,29,cast_002,*0000000000000100,5,*0000000000000100,2014-04-17T22:42:21.000Z,11.94,*0000000000000100,11.85,44.65928,-124.09970,10.5136,*0000000000000100,10.6333,*0000000000000100,3.5627,*0000000000000100,3.6260,*0000000000000100,32.0299,32.5549,5.98,*0000000010000100,6.36,0.18,*0000000010000100,13.8155,-9999999,*0000000000010001,-9999999,-9999999,4.698,*0000000000000100,*0000000000001000,5.000,2.047,1.731,*0000000000000100,*0000000000001000,1.175,15.32,10.2274,0.297,1.402,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
