Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
OC1410A,CE04,CE05MOAS-GL311-00001,44.37033,-124.95000,2014-10-06T22:52:36.000Z,1,*0000000000000100,583,   OC1410A_ctd001,*0000000000000100,1,*0000000000000100,2014-10-06T23:18:43.000Z,573.04,*0000000000000100,567.63,44.36987,-124.94996,5.4135,*0000000000000100,5.4170,*0000000000000100,3.3343,*0000000010000100,3.3333,*0000000010000100,34.1485,34.1332,0.56,*0000000010000100,7.04,0.02,*0000000010000100,3.0119,4.92,*0000000000000100,-9999999,-9999999,0.615,*0000000000000100,*0000000000000100,0.015,0.060,1.210,*0000000000000100,*0000000000000100,3.039,82.935,40.465,0.144,0.104,*0000000000000100,*0000000000000100,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2299.48,*0000000000000101,*0000000000000100,943.77,20.7,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2334.10,-9999999,-9999999,7.703,48.76,2195.62,55.10,1.279,0.824
OC1410A,CE04,CE05MOAS-GL311-00001,44.37033,-124.95000,2014-10-06T22:52:36.000Z,1,*0000000000000100,583,   OC1410A_ctd001,*0000000000000100,2,*0000000000000100,2014-10-06T23:18:50.000Z,573.38,*0000000000000100,567.97,44.36986,-124.94998,5.4092,*0000000000000100,5.4098,*0000000000000100,3.3340,*0000000000000100,3.3327,*0000000000000100,34.1489,34.1334,0.56,*0000000010000100,7.04,0.02,*0000000010000100,3.0120,4.92,*0000000000000100,-9999999,-9999999,0.596,*0000000000000100,*0000000000000100,0.018,0.066,1.225,*0000000000000100,*0000000000000100,3.049,83.499,40.588,0.103,0.086,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
OC1410A,CE04,CE05MOAS-GL311-00001,44.37033,-124.95000,2014-10-06T22:52:36.000Z,1,*0000000000000100,583,   OC1410A_ctd001,*0000000000000100,5,*0000000000000100,2014-10-06T23:26:23.000Z,200.11,*0000000000000100,198.40,44.37014,-124.95018,7.6099,*0000000000000100,7.6089,*0000000000000100,3.4930,*0000000010000100,3.4915,*0000000010000100,33.9077,33.8924,2.44,*0000000010000100,6.71,0.02,*0000000010000100,6.6757,0.13,*0000000000000100,-9999999,-9999999,2.524,*0000000000000100,*0000000000000100,0.014,0.046,1.234,*0000000000000100,*0000000000000100,2.258,41.275,30.591,0.101,0.193,*0000000000000100,*0000000000000100,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2264.22,*0000000000000101,*0000000000000100,809.76,20.4,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2328.30,-9999999,-9999999,7.769,38.77,2157.10,68.35,1.588,1.027
OC1410A,CE04,CE05MOAS-GL311-00001,44.37033,-124.95000,2014-10-06T22:52:36.000Z,1,*0000000000000100,583,   OC1410A_ctd001,*0000000000000100,6,*0000000000000100,2014-10-06T23:26:27.000Z,199.90,*0000000000000100,198.20,44.37014,-124.95017,7.6101,*0000000000000100,7.6089,*0000000000000100,3.4930,*0000000000000100,3.4915,*0000000000000100,33.9077,33.8924,2.44,*0000000010000100,6.71,0.02,*0000000010000100,6.6645,0.13,*0000000000000100,-9999999,-9999999,2.527,*0000000000000100,*0000000000000100,0.012,0.051,1.195,*0000000000000100,*0000000000000100,2.246,41.128,30.480,0.086,0.067,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
OC1410A,CE04,CE05MOAS-GL311-00001,44.37033,-124.95000,2014-10-06T22:52:36.000Z,1,*0000000000000100,583,   OC1410A_ctd001,*0000000000000100,9,*0000000000000100,2014-10-06T23:32:17.000Z,2.44,*0000000000000100,2.42,44.37004,-124.94999,16.0614,*0000000000000100,16.0526,*0000000000000100,4.0902,*0000000010000100,4.0877,*0000000010000100,32.2855,32.2706,5.86,*0000000010000100,5.67,0.07,*0000000010000100,3.0562,4.71,*0000000000000100,-9999999,-9999999,6.09,*0000000000000100,*0000000000000100,1.573,0.244,1.892,*0000000000000100,*0000000000000100,0.355,1.622,0.177,0.058,0.049,*0000000000000100,*0000000000000100,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2156.4,*0000000000000101,*0000000000000100,331.12,20.4,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2422.67,-9999999,-9999999,8.142,12.22,1951.07,193.12,4.565,2.997
OC1410A,CE04,CE05MOAS-GL311-00001,44.37033,-124.95000,2014-10-06T22:52:36.000Z,1,*0000000000000100,583,   OC1410A_ctd001,*0000000000000100,10,*0000000000000100,2014-10-06T23:32:22.000Z,2.61,*0000000000000100,2.59,44.37002,-124.94999,16.0519,*0000000000000100,16.0764,*0000000000000100,4.0895,*0000000000000100,4.0899,*0000000000000100,32.2867,32.2707,5.85,*0000000010000100,5.67,0.07,*0000000010000100,3.0577,4.70,*0000000000000100,-9999999,-9999999,6.013,*0000000000000100,*0000000000000100,1.349,0.374,1.806,*0000000000000100,*0000000000000100,0.328,1.336,0.104,0.056,0.049,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
OC1410A,CE06,CE06ISSM-00001,47.13367,-124.27000,2014-10-07T17:57:28.000Z,3,*0000000000000100,31,   OC1410A_ctd003,*0000000000000100,1,*0000000000000100,2014-10-07T18:00:36.000Z,25.81,*0000000000000100,25.59,47.13346,-124.27002,11.5005,*0000000000000100,11.2483,*0000000000000100,3.7097,*0000000000000100,3.6870,*0000000000000100,32.6068,32.6069,4.51,*0000000010000100,6.21,0.04,*0000000010000100,3.1048,4.48,*0000000000000100,-9999999,-9999999,4.931,*0000000000000100,*0000000000000100,0.968,0.778,1.571,*0000000000000100,*0000000000000100,1.286,14.167,5.104,0.201,5.403,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2191.01,*0000000000000101,*0000000000000100,347.95,20.4,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2412.64,-9999999,-9999999,8.121,14.69,2014.28,162.03,3.809,2.481
OC1410A,CE06,CE06ISSM-00001,47.13367,-124.27000,2014-10-07T17:57:28.000Z,3,*0000000000000100,31,   OC1410A_ctd003,*0000000000000100,2,*0000000000000100,2014-10-07T18:00:39.000Z,25.75,*0000000000000100,25.53,47.13346,-124.27002,11.5954,*0000000000000100,11.4756,*0000000000000100,3.7160,*0000000000000100,3.7057,*0000000000000100,32.5850,32.5898,4.60,*0000000010000100,6.20,0.04,*0000000010000100,3.1074,4.47,*0000000000000100,-9999999,-9999999,4.904,*0000000000000100,*0000000000000100,0.991,0.820,1.564,*0000000000000100,*0000000000000100,1.270,13.880,4.829,0.200,5.404,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
OC1410A,CE06,CE06ISSM-00001,47.13367,-124.27000,2014-10-07T17:57:28.000Z,3,*0000000000000100,31,   OC1410A_ctd003,*0000000000000100,5,*0000000000000100,2014-10-07T18:02:38.000Z,5.26,*0000000000000100,5.22,47.13344,-124.27008,15.3338,*0000000000000100,15.3348,*0000000000000100,3.9149,*0000000000000100,3.9136,*0000000000000100,31.3178,31.3055,5.53,*0000000010000100,5.78,0.09,*0000000010000100,3.2148,4.02,*0000000000000100,-9999999,-9999999,5.676,*0000000000000100,*0000000000000100,2.393,1.026,1.721,*0000000000000100,*0000000000000100,0.587,6.606,1.105,0.118,2.323,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2159.5,*0000000000000101,*0000000000000100,342.48,20.5,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2406.34,-9999999,-9999999,8.130,12.96,1965.73,180.81,4.311,2.827
OC1410A,CE06,CE06ISSM-00001,47.13367,-124.27000,2014-10-07T17:57:28.000Z,3,*0000000000000100,31,   OC1410A_ctd003,*0000000000000100,6,*0000000000000100,2014-10-07T18:02:40.000Z,5.41,*0000000000000100,5.36,47.13344,-124.27008,15.3348,*0000000000000100,15.3344,*0000000000000100,3.9151,*0000000000000100,3.9133,*0000000000000100,31.3187,31.3031,5.53,*0000000010000100,5.78,0.09,*0000000010000100,3.2104,4.03,*0000000000000100,-9999999,-9999999,5.683,*0000000000000100,*0000000000000100,3.102,0.263,1.949,*0000000000000100,*0000000000000100,0.583,6.890,1.093,0.123,2.341,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
