Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
OC1503D,CE02,CE02SHSM-00001,44.63683,-124.30800,2015-04-02T20:58:33.000Z,1,*0000000000000100,-9999999,001,*0000000000000100,1,*0000000000000100,2015-04-02T21:05:50.000Z,71.21,*0000000000000100,70.62,44.63672,-124.30775,9.0937,*0000000000000100,9.0500,*0000000000000100,3.6693,*0000000010000100,3.5783,*0000000010000100,34.3999,33.4927,2.84,*0000000010000100,6.47,0.03,*0000000010000100,0.1240,4.50,*0000000000000100,-9999999,-9999999,3.148,*0000000000000100,*0000000000000100,1.231,1.802,1.390,*0000000000000100,*0000000000001000,1.762,28.919,19.362,0.231,0.690,*0000000000000100,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2267.34,*0000000000000101,*0000000000000100,1853.37,22.4,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2232.09,-9999999,-9999999,7.412,84.24,2151.03,32.07,0.742,0.481
OC1503D,CE02,CE02SHSM-00001,44.63683,-124.30800,2015-04-02T20:58:33.000Z,1,*0000000000000100,-9999999,001,*0000000000000100,1,*0000000000000100,2015-04-02T21:05:50.000Z,71.21,*0000000000000100,70.62,44.63672,-124.30775,9.0937,*0000000000000100,9.0500,*0000000000000100,3.6693,*0000000000000100,3.5783,*0000000000000100,34.3999,33.4927,2.84,*0000000000000100,6.47,0.03,*0000000010000100,0.1240,4.50,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,1.440,1.885,1.417,*0000000000000100,*0000000000001000,1.933,33.338,22.858,0.256,0.535,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
OC1503D,CE02,CE02SHSM-00001,44.63683,-124.30800,2015-04-02T20:58:33.000Z,1,*0000000000000100,-9999999,001,*0000000000000100,2,*0000000000000100,2015-04-02T21:05:56.000Z,72.29,*0000000000000100,71.70,44.63672,-124.30775,9.0140,*0000000000000100,9.0136,*0000000000000100,3.6651,*0000000000000100,3.5763,*0000000000000100,34.4324,33.5064,2.85,*0000000010000100,6.48,0.03,*0000000000000100,0.1242,4.49,*0000000000000100,-9999999,-9999999,3.079,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
OC1503D,CE02,CE02SHSM-00001,44.63683,-124.30800,2015-04-02T20:58:33.000Z,1,*0000000000000100,-9999999,001,*0000000000000100,3,*0000000000000100,2015-04-02T21:09:28.000Z,7.95,*0000000000000100,7.88,44.63683,-124.30781,12.3237,*0000000000000100,12.3332,*0000000000000100,3.8039,*0000000010000100,3.7150,*0000000010000100,32.8042,31.9446,6.00,*0000000010000100,6.09,0.03,*0000000010000100,0.1237,4.54,*0000000000000100,-9999999,-9999999,6.336,*0000000000000100,*0000000000000100,1.459,0.572,1.691,*0000000000000100,*0000000000001000,0.326,0.694,0.047,0.041,0.535,*0000000000000100,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,1973.24,*0000000000000101,*0000000000000100,368.33,22.4,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2156.08,-9999999,-9999999,8.056,15.18,1827.41,130.65,3.066,2.000
OC1503D,CE02,CE02SHSM-00001,44.63683,-124.30800,2015-04-02T20:58:33.000Z,1,*0000000000000100,-9999999,001,*0000000000000100,3,*0000000000000100,2015-04-02T21:09:28.000Z,7.95,*0000000000000100,7.88,44.63683,-124.30781,12.3237,*0000000000000100,12.3332,*0000000000000100,3.8039,*0000000000000100,3.7150,*0000000000000100,32.8042,31.9446,6.00,*0000000000000100,6.09,0.03,*0000000010000100,0.1237,4.54,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,1.478,0.444,1.740,*0000000000000100,*0000000000001000,0.372,1.322,0.139,0.039,0.470,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
OC1503D,CE02,CE02SHSM-00001,44.63683,-124.30800,2015-04-02T20:58:33.000Z,1,*0000000000000100,-9999999,001,*0000000000000100,4,*0000000000000100,2015-04-02T21:09:53.000Z,8.45,*0000000000000100,8.38,44.63683,-124.30773,12.3773,*0000000000000100,12.3683,*0000000000000100,3.8123,*0000000000000100,3.7205,*0000000000000100,32.8377,31.9668,6.02,*0000000010000100,6.09,0.03,*0000000000000100,0.1237,4.53,*0000000000000100,-9999999,-9999999,6.335,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
OC1503D,CE02,CE02SHSM-00001,44.63683,-124.30800,2015-04-02T20:58:33.000Z,1,*0000000000000100,-9999999,001,*0000000000000100,5,*0000000000000100,2015-04-02T21:11:04.000Z,1.92,*0000000000000100,1.90,44.63678,-124.30773,12.6965,*0000000000000100,12.6866,*0000000000000100,3.8082,*0000000010000100,3.7144,*0000000010000100,32.5241,31.6425,6.04,*0000000010000100,6.06,0.03,*0000000010000100,0.1242,4.49,*0000000000000100,-9999999,-9999999,6.4,*0000000000000100,*0000000000000100,1.781,0.578,1.726,*0000000000000100,*0000000000001000,0.325,0.887,0.142,0.027,0.415,*0000000000000100,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,1952.30,*0000000000000101,*0000000000000100,319.38,22.5,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2160.31,-9999999,-9999999,8.111,13.04,1792.85,146.41,3.446,2.249
OC1503D,CE02,CE02SHSM-00001,44.63683,-124.30800,2015-04-02T20:58:33.000Z,1,*0000000000000100,-9999999,001,*0000000000000100,5,*0000000000000100,2015-04-02T21:11:04.000Z,1.92,*0000000000000100,1.90,44.63678,-124.30773,12.6965,*0000000000000100,12.6866,*0000000000000100,3.8082,*0000000000000100,3.7144,*0000000000000100,32.5241,31.6425,6.04,*0000000000000100,6.06,0.03,*0000000010000100,0.1242,4.49,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,1.781,0.615,1.715,*0000000000000100,*0000000000001000,0.313,6.067,0.063,0.047,0.911,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
OC1503D,CE02,CE02SHSM-00001,44.63683,-124.30800,2015-04-02T20:58:33.000Z,1,*0000000000000100,-9999999,001,*0000000000000100,6,*0000000000000100,2015-04-02T21:11:08.000Z,2.31,*0000000000000100,2.30,44.63678,-124.30772,12.6860,*0000000000000100,12.6863,*0000000000000100,3.8071,*0000000000000100,3.7160,*0000000000000100,32.5228,31.6574,6.05,*0000000010000100,6.06,0.03,*0000000000000100,0.1241,4.49,*0000000000000100,-9999999,-9999999,6.384,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
OC1503D,CE09,CE09OSPM-00002,46.85617,-124.97233,2015-04-04T19:14:18.000Z,2,*0000000000000100,-9999999,002,*0000000000000100,1,*0000000000000100,2015-04-04T19:27:27.000Z,502.36,*0000000000000100,497.59,46.85636,-124.97324,5.0266,*0000000000000100,5.0260,*0000000000000100,3.3454,*0000000010000100,3.2942,*0000000010000100,34.7077,34.1186,0.58,*0000000010000100,7.08,0.02,*0000000010000100,0.1232,4.60,*0000000000000100,-9999999,-9999999,0.656,*0000000000000100,*0000000000000100,0.025,0.153,1.133,*0000000000000100,*0000000000001000,2.284,58.125,28.129,0.023,0.250,*0000000000000100,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2320.06,*0000000000000101,*0000000000000100,974.04,22.3,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2351.25,-9999999,-9999999,7.691,50.83,2215.14,54.10,1.250,0.804
