Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
TN330,CE02,CE02SHSM-00001,44.63483,-124.29850,2015-09-22T03:22:27.000Z,1,*0000000000000100,84,20150922_0300_001,*0000000000000100,1,*0000000000000100,2015-09-22T03:30:58.000Z,77.05,*0000000000000100,76.41,44.63498,-124.29860,8.8978,*0000000000000100,8.8981,*0000000000000100,3.5782,*0000000010000100,3.5781,*0000000010000100,33.6335,33.6313,2.31,*0000000010000100,6.53,0.00,*0000000010000100,0.2138,94.80,*0000000000000100,-9999999,-9999999,2.447,*0000000000000100,*0000000000000100,0.245,1.024,1.186,*0000000000000100,*0000000000001000,2.324,44.124,26.608,0.412,2.010,*0000000000000100,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2258.77,*0000000000000101,*0000000000000100,1409.9,21.7,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2256.56,-9999999,-9999999,7.532,64.71,2152.81,41.25,0.961,0.623
TN330,CE02,CE02SHSM-00001,44.63483,-124.29850,2015-09-22T03:22:27.000Z,1,*0000000000000100,84,20150922_0300_001,*0000000000000100,1,*0000000000000100,2015-09-22T03:30:58.000Z,77.05,*0000000000000100,76.41,44.63498,-124.29860,8.8978,*0000000000000100,8.8981,*0000000000000100,3.5782,*0000000000000100,3.5781,*0000000000000100,33.6335,33.6313,2.31,*0000000000000100,6.53,0.00,*0000000010000100,0.2138,94.80,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,0.208,1.053,1.158,*0000000000000100,*0000000000001000,2.327,44.343,26.596,0.420,1.939,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN330,CE02,CE02SHSM-00001,44.63483,-124.29850,2015-09-22T03:22:27.000Z,1,*0000000000000100,84,20150922_0300_001,*0000000000000100,2,*0000000000000100,2015-09-22T03:31:04.000Z,77.22,*0000000000000100,76.58,44.63498,-124.29860,8.8971,*0000000000000100,8.8976,*0000000000000100,3.5781,*0000000000000100,3.5780,*0000000000000100,33.6330,33.6314,2.31,*0000000010000100,6.53,0.00,*0000000000000100,0.2147,94.77,*0000000000000100,-9999999,-9999999,2.443,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN330,CE02,CE02SHSM-00001,44.63483,-124.29850,2015-09-22T03:22:27.000Z,1,*0000000000000100,84,20150922_0300_001,*0000000000000100,4,*0000000000000100,2015-09-22T03:34:16.000Z,8.03,*0000000000000100,7.97,44.63496,-124.29863,13.6983,*0000000000000100,13.6954,*0000000000000100,3.9059,*0000000010000100,3.9055,*0000000010000100,32.5821,32.5806,6.08,*0000000010000100,5.93,0.11,*0000000010000100,0.2604,93.70,*0000000000000100,-9999999,-9999999,6.406,*0000000000000100,*0000000000000100,0.968,0.382,1.690,*0000000000000100,*0000000000001000,0.387,0.713,-0.018,0.074,0.283,*0000000000000100,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2017.93,*0000000000000101,*0000000000000100,347.07,21.7,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2229.38,-9999999,-9999999,8.092,13.72,1853.24,150.96,3.552,2.323
TN330,CE02,CE02SHSM-00001,44.63483,-124.29850,2015-09-22T03:22:27.000Z,1,*0000000000000100,84,20150922_0300_001,*0000000000000100,4,*0000000000000100,2015-09-22T03:34:16.000Z,8.03,*0000000000000100,7.97,44.63496,-124.29863,13.6983,*0000000000000100,13.6954,*0000000000000100,3.9059,*0000000000000100,3.9055,*0000000000000100,32.5821,32.5806,6.08,*0000000000000100,5.93,0.11,*0000000010000100,0.2604,93.70,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,0.927,0.282,1.738,*0000000000000100,*0000000000001000,0.409,0.143,0.116,0.071,0.332,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN330,CE02,CE02SHSM-00001,44.63483,-124.29850,2015-09-22T03:22:27.000Z,1,*0000000000000100,84,20150922_0300_001,*0000000000000100,5,*0000000000000100,2015-09-22T03:34:29.000Z,8.13,*0000000000000100,8.06,44.63496,-124.29862,13.6979,*0000000000000100,13.7005,*0000000000000100,3.9061,*0000000000000100,3.9061,*0000000000000100,32.5841,32.5817,6.09,*0000000010000100,5.93,0.12,*0000000000000100,0.2640,93.61,*0000000000000100,-9999999,-9999999,6.438,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN330,CE02,CE02SHSM-00001,44.63483,-124.29850,2015-09-22T03:22:27.000Z,1,*0000000000000100,84,20150922_0300_001,*0000000000000100,7,*0000000000000100,2015-09-22T03:36:12.000Z,2.53,*0000000000000100,2.51,44.63500,-124.29863,13.6980,*0000000000000100,13.6983,*0000000000000100,3.9061,*0000000010000100,3.9058,*0000000010000100,32.5860,32.5828,6.08,*0000000010000100,5.93,0.12,*0000000010000100,0.2685,93.51,*0000000000000100,-9999999,-9999999,6.427,*0000000000000100,*0000000000000100,0.910,0.370,1.684,*0000000000000100,*0000000000001000,0.372,0.560,0.119,0.062,0.226,*0000000000000100,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2010.46,*0000000000000101,*0000000000000100,343.19,21.6,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2222.89,-9999999,-9999999,8.095,13.57,1845.51,151.38,3.562,2.329
TN330,CE02,CE02SHSM-00001,44.63483,-124.29850,2015-09-22T03:22:27.000Z,1,*0000000000000100,84,20150922_0300_001,*0000000000000100,7,*0000000000000100,2015-09-22T03:36:12.000Z,2.53,*0000000000000100,2.51,44.63500,-124.29863,13.6980,*0000000000000100,13.6983,*0000000000000100,3.9061,*0000000000000100,3.9058,*0000000000000100,32.5860,32.5828,6.08,*0000000000000100,5.93,0.12,*0000000010000100,0.2685,93.51,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,0.883,0.367,1.680,*0000000000000100,*0000000000001000,0.280,0.384,0.058,0.047,0.197,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN330,CE02,CE02SHSM-00001,44.63483,-124.29850,2015-09-22T03:22:27.000Z,1,*0000000000000100,84,20150922_0300_001,*0000000000000100,8,*0000000000000100,2015-09-22T03:36:25.000Z,3.07,*0000000000000100,3.05,44.63500,-124.29862,13.6977,*0000000000000100,13.6969,*0000000000000100,3.9061,*0000000000000100,3.9057,*0000000000000100,32.5860,32.5828,6.08,*0000000010000100,5.93,0.12,*0000000000000100,0.2640,93.61,*0000000000000100,-9999999,-9999999,6.440,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN330,CE07,CE07SHSM-00001,46.98917,-124.56950,2015-09-23T14:43:07.000Z,2,*0000000000000100,91,20150923_1430_002,*0000000000000100,1,*0000000000000100,2015-09-23T14:48:17.000Z,83.48,*0000000000000100,82.77,46.98952,-124.56858,8.0334,*0000000000000100,8.0338,*0000000000000100,3.4816,*0000000010000100,3.4815,*0000000010000100,33.4318,33.4303,2.69,*0000000010000100,6.66,0.01,*0000000010000100,0.4924,88.42,*0000000000000100,-9999999,-9999999,2.835,*0000000000000100,*0000000000000100,0.138,0.518,1.203,*0000000000000100,*0000000000001000,2.241,44.847,24.240,0.360,1.613,*0000000000000100,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2224.24,*0000000000000101,*0000000000000100,865.18,21.6,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2277.65,-9999999,-9999999,7.735,40.93,2120.85,62.46,1.457,0.943
TN330,CE07,CE07SHSM-00001,46.98917,-124.56950,2015-09-23T14:43:07.000Z,2,*0000000000000100,91,20150923_1430_002,*0000000000000100,1,*0000000000000100,2015-09-23T14:48:17.000Z,83.48,*0000000000000100,82.77,46.98952,-124.56858,8.0334,*0000000000000100,8.0338,*0000000000000100,3.4816,*0000000000000100,3.4815,*0000000000000100,33.4318,33.4303,2.69,*0000000000000100,6.66,0.01,*0000000010000100,0.4924,88.42,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,0.143,0.506,1.212,*0000000000000100,*0000000000001000,2.226,44.869,24.217,0.379,1.648,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN330,CE07,CE07SHSM-00001,46.98917,-124.56950,2015-09-23T14:43:07.000Z,2,*0000000000000100,91,20150923_1430_002,*0000000000000100,2,*0000000000000100,2015-09-23T14:48:25.000Z,83.09,*0000000000000100,82.39,46.98952,-124.56853,8.0330,*0000000000000100,8.0333,*0000000000000100,3.4813,*0000000000000100,3.4812,*0000000000000100,33.4292,33.4281,2.71,*0000000010000100,6.66,0.01,*0000000000000100,0.4574,89.19,*0000000000000100,-9999999,-9999999,2.841,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN330,CE07,CE07SHSM-00001,46.98917,-124.56950,2015-09-23T14:43:07.000Z,2,*0000000000000100,91,20150923_1430_002,*0000000000000100,4,*0000000000000100,2015-09-23T14:52:33.000Z,8.18,*0000000000000100,8.11,46.98966,-124.56808,14.8812,*0000000000000100,14.8863,*0000000000000100,3.9485,*0000000010000100,3.9485,*0000000010000100,31.9835,31.9792,5.65,*0000000010000100,5.81,0.06,*0000000010000100,0.1773,95.66,*0000000000000100,-9999999,-9999999,5.945,*0000000000000100,*0000000000000100,0.588,0.203,1.715,*0000000000000100,*0000000000001000,0.327,0.450,-0.047,0.065,0.042,*0000000000000100,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,1994.23,*0000000000000101,*0000000000000100,427.98,21.5,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2198.88,-9999999,-9999999,8.011,14.55,1831.39,148.29,3.527,2.327
