Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
TN342,CE07,CE07SHSM-00003 and CE07SHSM-00002,46.98733,-124.56967,2016-05-05T21:13:19.000Z,1,*0000000000000100,-9999999,20160505_2111,*0000000000000101,1,*0000000000000100,2016-05-05T21:18:46.000Z,82.73,*0000000000000100,82.03,46.98740,-124.56978,7.7198,*0000000000000100,7.7201,*0000000000000100,3.4863,*0000000010000100,3.4858,*0000000010000100,33.7845,33.7790,2.48,*0000000010000100,6.69,3.41,*0000000010000100,0.6893,84.17,*0000000000000100,7.653,*0000000010000100,2.487,*0000000000000100,*0000000000000100,0.369,0.680,1.339,*0000000000000100,*0000000000001000,2.46,44.3,27.873,0.32,0.59,*0000000000000100,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2153.31,*0000000000000101,*0000000000000100,844.61,23.3,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2204.15,-9999999,-9999999,7.726,40.30,2053.61,59.40,1.360,0.880
TN342,CE07,CE07SHSM-00003 and CE07SHSM-00002,46.98733,-124.56967,2016-05-05T21:13:19.000Z,1,*0000000000000100,-9999999,20160505_2111,*0000000000000101,1,*0000000000000100,2016-05-05T21:18:46.000Z,82.73,*0000000000000100,82.03,46.98740,-124.56978,7.7198,*0000000000000100,7.7201,*0000000000000100,3.4863,*0000000000000100,3.4858,*0000000000000100,33.7845,33.7790,2.48,*0000000000000100,6.69,3.41,*0000000010000100,0.6893,84.17,*0000000000000100,7.653,*0000000000000100,-9999999,-9999999,-9999999,0.369,0.634,1.354,*0000000000000100,*0000000000001000,1.60,21.6,14.2595,0.18,1.16,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN342,CE07,CE07SHSM-00003 and CE07SHSM-00002,46.98733,-124.56967,2016-05-05T21:13:19.000Z,1,*0000000000000100,-9999999,20160505_2111,*0000000000000101,2,*0000000000000100,2016-05-05T21:18:56.000Z,82.72,*0000000000000100,82.01,46.98740,-124.56978,7.7209,*0000000000000100,7.7213,*0000000000000100,3.4864,*0000000000000100,3.4859,*0000000000000100,33.7840,33.7784,2.48,*0000000010000100,6.69,3.22,*0000000000000100,0.6700,84.58,*0000000000000100,7.653,*0000000000000100,2.497,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN342,CE07,CE07SHSM-00003 and CE07SHSM-00002,46.98733,-124.56967,2016-05-05T21:13:19.000Z,1,*0000000000000100,-9999999,20160505_2111,*0000000000000101,4,*0000000000000100,2016-05-05T21:21:20.000Z,8.41,*0000000000000100,8.34,46.98738,-124.56976,12.2393,*0000000000000100,12.2414,*0000000000000100,3.6155,*0000000010000100,3.6151,*0000000010000100,31.0717,31.0668,8.22,*0000000010000100,6.17,16.07,*0000000010000100,0.8322,81.22,*0000000000000100,8.403,*0000000010000100,7.914,*0000000000000100,*0000000000000100,3.504,0.799,1.783,*0000000000000100,*0000000000001000,0.32,3.7,0.1674,0.09,0.20,*0000000000000100,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,1835.87,*0000000000000101,*0000000000000100,189.69,22.9,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2120.88,-9999999,-9999999,8.297,7.91,1632.85,195.11,4.645,3.030
TN342,CE07,CE07SHSM-00003 and CE07SHSM-00002,46.98733,-124.56967,2016-05-05T21:13:19.000Z,1,*0000000000000100,-9999999,20160505_2111,*0000000000000101,4,*0000000000000100,2016-05-05T21:21:20.000Z,8.41,*0000000000000100,8.34,46.98738,-124.56976,12.2393,*0000000000000100,12.2414,*0000000000000100,3.6155,*0000000000000100,3.6151,*0000000000000100,31.0717,31.0668,8.22,*0000000000000100,6.17,16.07,*0000000010000100,0.8322,81.22,*0000000000000100,8.403,*0000000000000100,-9999999,-9999999,-9999999,3.940,0.892,1.784,*0000000000000100,*0000000000001000,0.34,3.1,0.1937,0.08,0.11,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN342,CE07,CE07SHSM-00003 and CE07SHSM-00002,46.98733,-124.56967,2016-05-05T21:13:19.000Z,1,*0000000000000100,-9999999,20160505_2111,*0000000000000101,5,*0000000000000100,2016-05-05T21:21:27.000Z,8.48,*0000000000000100,8.41,46.98738,-124.56976,12.2514,*0000000000000100,12.2503,*0000000000000100,3.6166,*0000000000000100,3.6160,*0000000000000100,31.0721,31.0678,8.23,*0000000010000100,6.17,17.11,*0000000000000100,0.9000,79.86,*0000000000000100,8.407,*0000000000000100,8.079,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN342,CE07,CE07SHSM-00003 and CE07SHSM-00002,46.98733,-124.56967,2016-05-05T21:13:19.000Z,1,*0000000000000100,-9999999,20160505_2111,*0000000000000101,7,*0000000000000100,2016-05-05T21:22:13.000Z,1.75,*0000000000000100,1.73,46.98738,-124.56976,12.7560,*0000000000000100,12.7570,*0000000000000100,3.6590,*0000000010000100,3.6586,*0000000010000100,31.0607,31.0565,7.99,*0000000010000100,6.11,5.33,*0000000010000100,0.8184,81.50,*0000000000000100,8.400,*0000000010000100,8.007,*0000000000000100,*0000000000000100,3.125,0.358,1.863,*0000000000000100,*0000000000001000,0.33,3.6,0.0468,0.01,0.04,*0000000000000100,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,1832.97,*0000000000000101,*0000000000000100,177.66,22.8,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2138.09,-9999999,-9999999,8.323,7.29,1616.72,208.95,4.983,3.253
TN342,CE07,CE07SHSM-00003 and CE07SHSM-00002,46.98733,-124.56967,2016-05-05T21:13:19.000Z,1,*0000000000000100,-9999999,20160505_2111,*0000000000000101,7,*0000000000000100,2016-05-05T21:22:13.000Z,1.75,*0000000000000100,1.73,46.98738,-124.56976,12.7560,*0000000000000100,12.7570,*0000000000000100,3.6590,*0000000000000100,3.6586,*0000000000000100,31.0607,31.0565,7.99,*0000000000000100,6.11,5.33,*0000000010000100,0.8184,81.50,*0000000000000100,8.400,*0000000000000100,-9999999,-9999999,-9999999,3.352,0.094,1.936,*0000000000000100,*0000000000001000,0.30,3.4,0.0247,0.00,0.01,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN342,CE07,CE07SHSM-00003 and CE07SHSM-00002,46.98733,-124.56967,2016-05-05T21:13:19.000Z,1,*0000000000000100,-9999999,20160505_2111,*0000000000000101,8,*0000000000000100,2016-05-05T21:22:20.000Z,2.01,*0000000000000100,2.00,46.98738,-124.56976,12.7389,*0000000000000100,12.7350,*0000000000000100,3.6576,*0000000000000100,3.6568,*0000000000000100,31.0617,31.0573,8.00,*0000000010000100,6.11,5.32,*0000000000000100,0.8338,81.19,*0000000000000100,8.402,*0000000000000100,7.981,*0000000000000100,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
TN342,CE06,CE06ISSM-00004 and CE06ISSM-00003,47.13500,-124.27267,2016-05-06T02:53:02.000Z,2,*0000000000000100,-9999999,20160506_0252,*0000000000000101,1,*0000000000000100,2016-05-06T02:55:59.000Z,23.32,*0000000000000100,23.12,47.13510,-124.27272,9.9820,*0000000000000100,9.9685,*0000000000000100,3.5692,*0000000010000100,3.5685,*0000000010000100,32.5623,32.5679,5.12,*0000000010000100,6.42,6.05,*0000000010000100,0.5149,87.92,*0000000000000100,7.984,*0000000010000100,5.154,*0000000000000100,*0000000000000100,5.766,2.274,1.690,*0000000000000100,*0000000000001000,0.99,10.1,7.9241,0.33,0.35,*0000000000000100,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2057.45,*0000000000000101,*0000000000000100,469.01,22.7,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2192.10,-9999999,-9999999,7.967,20.89,1933.77,102.79,2.405,1.563
