Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
SR1813,CE07,CE07SHSM-00008 and CE07SHSM-00007,46.98550,-124.56150,2018-09-18T17:43:02.000Z,1,*0000000000000100,84.6,   SR1813_001,*0000000000000100,1,*0000000000000100,2018-09-18T17:49:39.000Z,82.72,*0000000000000100,82.02,46.98544,-124.56156,8.1332,*0000000000000100,8.1335,*0000000000000100,3.5317,*0000000010000100,3.5314,*0000000010000100,33.8711,33.8676,2.08,*0000000010000100,6.63,0.14,*0000000010000100,-0.3504,109.16,*0000000000001000,-9999999,-9999999,2.051,*0000000000000100,*0000000000001000,0.166,0.333,1.312,*0000000000000100,*0000000000001000,2.417,45.087,27.583,0.295,0.844,*0000000000000101,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2247.07,*0000000000000101,*0000000000000100,1000.86,-9999999,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2284.58,-9999999,-9999999,7.673,47.05,2144.2,55.82,1.277,0.827
SR1813,CE07,CE07SHSM-00008 and CE07SHSM-00007,46.98550,-124.56150,2018-09-18T17:43:02.000Z,1,*0000000000000100,84.6,   SR1813_001,*0000000000000100,1,*0000000000000100,2018-09-18T17:49:39.000Z,82.72,*0000000000000100,82.02,46.98544,-124.56156,8.1332,*0000000000000100,8.1335,*0000000000000100,3.5317,*0000000000000100,3.5314,*0000000000000100,33.8711,33.8676,2.08,*0000000010000100,6.63,0.14,*0000000010000100,-0.3504,109.16,*0000000000001000,-9999999,-9999999,2.049,*0000000000000100,*0000000000001000,0.160,0.294,1.331,*0000000000000100,*0000000000001000,2.419,45.134,28.684,0.205,0.616,*0000000000000101,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SR1813,CE07,CE07SHSM-00008 and CE07SHSM-00007,46.98550,-124.56150,2018-09-18T17:43:02.000Z,1,*0000000000000100,84.6,   SR1813_001,*0000000000000100,9,*0000000000000100,2018-09-18T17:54:02.000Z,8.06,*0000000000000100,7.99,46.98544,-124.56156,13.2817,*0000000000000100,13.2791,*0000000000000100,3.8713,*0000000010000100,3.8708,*0000000010000100,32.6141,32.6121,6.00,*0000000010000100,5.98,2.09,*0000000010000100,-0.3874,110.17,*0000000000001000,-9999999,-9999999,6.010,*0000000000000100,*0000000000001000,2.724,0.438,1.809,*0000000000000100,*0000000000001000,0.579,3.988,2.779,0.079,0.281,*0000000000000101,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2027.29,*0000000000000101,*0000000000000100,342.77,-9999999,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2239.67,-9999999,-9999999,8.098,13.71,1861.93,151.65,3.561,2.327
SR1813,CE07,CE07SHSM-00008 and CE07SHSM-00007,46.98550,-124.56150,2018-09-18T17:43:02.000Z,1,*0000000000000100,84.6,   SR1813_001,*0000000000000100,9,*0000000000000100,2018-09-18T17:54:02.000Z,8.06,*0000000000000100,7.99,46.98544,-124.56156,13.2817,*0000000000000100,13.2791,*0000000000000100,3.8713,*0000000000000100,3.8708,*0000000000000100,32.6141,32.6121,6.00,*0000000010000100,5.98,2.09,*0000000010000100,-0.3874,110.17,*0000000000001000,-9999999,-9999999,6.009,*0000000000000100,*0000000000001000,2.743,0.472,1.801,*0000000000000100,*0000000000001000,0.615,4.498,3.239,0.072,0.312,*0000000000000101,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SR1813,CE07,CE07SHSM-00008 and CE07SHSM-00007,46.98550,-124.56150,2018-09-18T17:43:02.000Z,1,*0000000000000100,84.6,   SR1813_001,*0000000000000100,18,*0000000000000100,2018-09-18T17:57:01.000Z,2.48,*0000000000000100,2.46,46.98544,-124.56156,13.9454,*0000000000000100,13.9429,*0000000000000100,3.8247,*0000000010000100,3.8247,*0000000010000100,31.6260,31.6282,6.36,*0000000010000100,5.94,0.40,*0000000010000100,-0.0984,102.49,*0000000000001000,-9999999,-9999999,6.341,*0000000000000100,*0000000000001000,3.501,0.319,1.860,*0000000000000100,*0000000000001000,0.415,4.682,0.993,0.048,0.026,*0000000000000101,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,1950.64,*0000000000000101,*0000000000000100,280.79,-9999999,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2191.33,-9999999,-9999999,8.166,11.08,1770.56,169,4.007,2.621
SR1813,CE07,CE07SHSM-00008 and CE07SHSM-00007,46.98550,-124.56150,2018-09-18T17:43:02.000Z,1,*0000000000000100,84.6,   SR1813_001,*0000000000000100,18,*0000000000000100,2018-09-18T17:57:01.000Z,2.48,*0000000000000100,2.46,46.98544,-124.56156,13.9454,*0000000000000100,13.9429,*0000000000000100,3.8247,*0000000000000100,3.8247,*0000000000000100,31.6260,31.6282,6.36,*0000000010000100,5.94,0.40,*0000000010000100,-0.0984,102.49,*0000000000001000,-9999999,-9999999,6.341,*0000000000000100,*0000000000001000,3.918,0.223,1.888,*0000000000000100,*0000000000001000,0.432,5.615,0.975,0.143,0.232,*0000000000000101,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SR1813,CE09,"CE09OSSM-00008, CE09OSSM-00007 and CE09OSPM-00009",46.85500,-124.97600,2018-09-19T01:10:24.000Z,2,*0000000000000100,517.1,   SR1813_002,*0000000000000100,1,*0000000000000100,2018-09-19T01:23:29.000Z,518.81,*0000000000000100,513.87,46.85498,-124.97600,4.9849,*0000000000000100,4.9860,*0000000000000100,3.2891,*0000000010000100,3.2889,*0000000010000100,34.0936,34.0902,0.75,*0000000010000100,7.12,0.06,*0000000010000100,-0.7317,120.07,*0000000000001000,-9999999,-9999999,0.720,*0000000000000100,*0000000000001000,0.002,0.015,1.116,*0000000000000100,*0000000000001000,3.014,84.124,39.302,0.071,0.142,*0000000000000101,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2348.44,*0000000000000101,*0000000000000100,1212.46,-9999999,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2350.49,-9999999,-9999999,7.577,63.57,2241.85,43.02,0.901,0.583
SR1813,CE09,"CE09OSSM-00008, CE09OSSM-00007 and CE09OSPM-00009",46.85500,-124.97600,2018-09-19T01:10:24.000Z,2,*0000000000000100,517.1,   SR1813_002,*0000000000000100,1,*0000000000000100,2018-09-19T01:23:29.000Z,518.81,*0000000000000100,513.87,46.85498,-124.97600,4.9849,*0000000000000100,4.9860,*0000000000000100,3.2891,*0000000000000100,3.2889,*0000000000000100,34.0936,34.0902,0.75,*0000000010000100,7.12,0.06,*0000000010000100,-0.7317,120.07,*0000000000001000,-9999999,-9999999,0.722,*0000000000000100,*0000000000001000,0.004,0.011,1.266,*0000000000000100,*0000000000001000,3.079,84.304,40.247,0.056,0.107,*0000000000000101,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SR1813,CE09,"CE09OSSM-00008, CE09OSSM-00007 and CE09OSPM-00009",46.85500,-124.97600,2018-09-19T01:10:24.000Z,2,*0000000000000100,517.1,   SR1813_002,*0000000000000100,9,*0000000000000100,2018-09-19T01:36:09.000Z,8.29,*0000000000000100,8.22,46.85500,-124.97600,15.1446,*0000000000000100,15.1428,*0000000000000100,3.9998,*0000000010000100,3.9994,*0000000010000100,32.2292,32.2271,5.97,*0000000010000100,5.77,0.44,*0000000010000100,-0.5812,115.64,*0000000000001000,-9999999,-9999999,6.013,*0000000000000100,*0000000000001000,1.698,0.235,1.825,*0000000000000100,*0000000000001000,0.505,1.711,0.088,0.043,0.078,*0000000000000101,*0000000000001000,-9999999,*0000000000000011,*0000000000000100,-9999999,-9999999,-9999999,2000.01,*0000000000000101,*0000000000000100,354.98,-9999999,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2213.83,-9999999,-9999999,8.082,13.46,1833.74,152.82,3.607,2.365
SR1813,CE09,"CE09OSSM-00008, CE09OSSM-00007 and CE09OSPM-00009",46.85500,-124.97600,2018-09-19T01:10:24.000Z,2,*0000000000000100,517.1,   SR1813_002,*0000000000000100,9,*0000000000000100,2018-09-19T01:36:09.000Z,8.29,*0000000000000100,8.22,46.85500,-124.97600,15.1446,*0000000000000100,15.1428,*0000000000000100,3.9998,*0000000000000100,3.9994,*0000000000000100,32.2292,32.2271,5.97,*0000000010000100,5.77,0.44,*0000000010000100,-0.5812,115.64,*0000000000001000,-9999999,-9999999,6.010,*0000000000000100,*0000000000001000,0.308,0.059,1.788,*0000000000000100,*0000000000001000,0.560,1.707,0.139,0.045,0.065,*0000000000000101,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
