Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
SKQ202104S,CE05,"CE05MOAS-GL326-00009, CE05MOAS-GL386-00013, and CE05MOAS-GL871-00001",44.62833,-124.53017,2021-03-24T21:01:23.000Z,1,*0000000000000100,0,SKQ202104S_001,*0000000000000100,1,*0000000000000100,2021-03-24T21:17:04.000Z,126.28,*0000000000000100,125.22,44.62600,-124.52836,7.8708,*0000000000000100,7.8751,*0000000000000100,3.5097,*0000000010000100,3.5107,*0000000010000100,33.8685,33.8748,2.1374,*0000000010000100,6.6680,0.1057,*0000000010000100,0.3549,91.51,*0000000000000100,7.609,*0000000000000100,2.342,*0000000000000100,*0000000000001000,0.0263,0.1606,1.1320,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,33.8713,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ202104S,CE05,"CE05MOAS-GL326-00009, CE05MOAS-GL386-00013, and CE05MOAS-GL871-00001",44.62833,-124.53017,2021-03-24T21:01:23.000Z,1,*0000000000000100,0,SKQ202104S_001,*0000000000000100,1,*0000000000000100,2021-03-24T21:17:04.000Z,126.28,*0000000000000100,125.22,44.62600,-124.52836,7.8708,*0000000000000100,7.8751,*0000000000000100,3.5097,*0000000000000100,3.5107,*0000000000000100,33.8685,33.8748,2.1374,*0000000010000100,6.6680,0.1057,*0000000010000100,0.3549,91.51,*0000000000000100,7.609,*0000000000000100,2.344,*0000000000000100,*0000000000001000,0.0301,0.1728,1.1391,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ202104S,CE05,"CE05MOAS-GL326-00009, CE05MOAS-GL386-00013, and CE05MOAS-GL871-00001",44.62833,-124.53017,2021-03-24T21:01:23.000Z,1,*0000000000000100,0,SKQ202104S_001,*0000000000000100,3,*0000000000000100,2021-03-24T21:18:50.000Z,111.78,*0000000000000100,110.85,44.62568,-124.52808,8.3907,*0000000000000100,8.3934,*0000000000000100,3.5426,*0000000010000100,3.5435,*0000000010000100,33.7255,33.7324,2.7435,*0000000010000100,6.5967,0.1174,*0000000010000100,0.4473,89.42,*0000000000000100,7.650,*0000000000000100,2.956,*0000000000000100,*0000000000001000,0.0547,0.1695,1.2290,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,33.6643,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ202104S,CE05,"CE05MOAS-GL326-00009, CE05MOAS-GL386-00013, and CE05MOAS-GL871-00001",44.62833,-124.53017,2021-03-24T21:01:23.000Z,1,*0000000000000100,0,SKQ202104S_001,*0000000000000100,3,*0000000000000100,2021-03-24T21:18:50.000Z,111.78,*0000000000000100,110.85,44.62568,-124.52808,8.3907,*0000000000000100,8.3934,*0000000000000100,3.5426,*0000000000000100,3.5435,*0000000000000100,33.7255,33.7324,2.7435,*0000000000000100,6.5967,0.1174,*0000000010000100,0.4473,89.42,*0000000000000100,7.650,*0000000000000100,-9999999,*0000000000010001,*0000000000001000,0.0528,0.1821,1.2110,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ202104S,CE05,"CE05MOAS-GL326-00009, CE05MOAS-GL386-00013, and CE05MOAS-GL871-00001",44.62833,-124.53017,2021-03-24T21:01:23.000Z,1,*0000000000000100,0,SKQ202104S_001,*0000000000000100,5,*0000000000000100,2021-03-24T21:21:38.000Z,76.53,*0000000000000100,75.90,44.62502,-124.52754,8.6387,*0000000000000100,8.6395,*0000000000000100,3.5035,*0000000000000100,3.5042,*0000000000000100,33.0947,33.1009,4.2643,*0000000010000100,6.5871,0.0726,*0000000000000100,0.1569,96.15,*0000000000000100,7.805,*0000000000000100,4.517,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ202104S,CE05,"CE05MOAS-GL326-00009, CE05MOAS-GL386-00013, and CE05MOAS-GL871-00001",44.62833,-124.53017,2021-03-24T21:01:23.000Z,1,*0000000000000100,0,SKQ202104S_001,*0000000000000100,5,*0000000000000100,2021-03-24T21:21:38.000Z,76.53,*0000000000000100,75.90,44.62502,-124.52754,8.6387,*0000000000000100,8.6395,*0000000000000100,3.5035,*0000000000000100,3.5042,*0000000000000100,33.0947,33.1009,4.2643,*0000000010000100,6.5871,0.0726,*0000000000000100,0.1569,96.15,*0000000000000100,7.805,*0000000000000100,4.591,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ202104S,CE05,"CE05MOAS-GL326-00009, CE05MOAS-GL386-00013, and CE05MOAS-GL871-00001",44.62833,-124.53017,2021-03-24T21:01:23.000Z,1,*0000000000000100,0,SKQ202104S_001,*0000000000000100,7,*0000000000000100,2021-03-24T21:23:58.000Z,40.82,*0000000000000100,40.48,44.62448,-124.52718,9.2714,*0000000000000100,9.2734,*0000000000000100,3.4394,*0000000000000100,3.4400,*0000000000000100,31.8666,31.8709,6.2210,*0000000010000100,6.5469,0.4891,*0000000000000100,0.2236,94.56,*0000000000000100,8.031,*0000000000000100,6.695,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ202104S,CE05,"CE05MOAS-GL326-00009, CE05MOAS-GL386-00013, and CE05MOAS-GL871-00001",44.62833,-124.53017,2021-03-24T21:01:23.000Z,1,*0000000000000100,0,SKQ202104S_001,*0000000000000100,7,*0000000000000100,2021-03-24T21:23:58.000Z,40.82,*0000000000000100,40.48,44.62448,-124.52718,9.2714,*0000000000000100,9.2734,*0000000000000100,3.4394,*0000000000000100,3.4400,*0000000000000100,31.8666,31.8709,6.2210,*0000000010000100,6.5469,0.4891,*0000000000000100,0.2236,94.56,*0000000000000100,8.031,*0000000000000100,6.685,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ202104S,CE05,"CE05MOAS-GL326-00009, CE05MOAS-GL386-00013, and CE05MOAS-GL871-00001",44.62833,-124.53017,2021-03-24T21:01:23.000Z,1,*0000000000000100,0,SKQ202104S_001,*0000000000000100,9,*0000000000000100,2021-03-24T21:25:38.000Z,29.65,*0000000000000100,29.41,44.62413,-124.52694,9.2871,*0000000000000100,9.2891,*0000000000000100,3.4148,*0000000000000100,3.4157,*0000000000000100,31.6048,31.6123,6.4463,*0000000010000100,6.5557,0.8309,*0000000010000100,0.3360,91.94,*0000000000000100,8.062,*0000000000000100,6.912,*0000000000000100,*0000000000001000,0.4600,1.0128,1.2933,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ202104S,CE05,"CE05MOAS-GL326-00009, CE05MOAS-GL386-00013, and CE05MOAS-GL871-00001",44.62833,-124.53017,2021-03-24T21:01:23.000Z,1,*0000000000000100,0,SKQ202104S_001,*0000000000000100,9,*0000000000000100,2021-03-24T21:25:38.000Z,29.65,*0000000000000100,29.41,44.62413,-124.52694,9.2871,*0000000000000100,9.2891,*0000000000000100,3.4148,*0000000000000100,3.4157,*0000000000000100,31.6048,31.6123,6.4463,*0000000010000100,6.5557,0.8309,*0000000010000100,0.3360,91.94,*0000000000000100,8.062,*0000000000000100,6.913,*0000000000000100,*0000000000001000,1.0567,0.4428,1.6617,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
