Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated Bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
SKQ202304S,CE09,"CE09OSSM-00016, CE09OSPM-00018, CE09OSSM-00015, CE09OSPM-00017, CE05MOAS-GL312-00014, CE05MOAS-GL917-00005",46.8485,-124.95383,2023-03-11T03:24:44.000Z,1,*0000000000000100,560,SKQ202304S_001.hex,*0000000000000100,1,*0000000000000100,2023-03-11T03:44:09.000Z,559.104,*0000000000000100,553.724,46.84812,-124.95313,5.2787,*0000000000000100,5.2778,*0000000000000100,3.316659,*0000000010000100,3.319055,*0000000010000100,34.0906,34.1189,0.6469,*0000000010000100,7.06948,0.0255,*0000000010000100,0.087,97.8493,*0000000000000100,7.393,*0000000010000100,0.837,*0000000000000100,*0000000000001000,0.00183,0.03586,1.04333,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,34.1191,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,2348.23,*0000000000000101,*0000000000000100,1169.61,21.6,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2356.37,-9999999,-9999999,7.592,60.69,2242.38,45.17,0.938,0.608
SKQ202304S,CE09,"CE09OSSM-00016, CE09OSPM-00018, CE09OSSM-00015, CE09OSPM-00017, CE05MOAS-GL312-00014, CE05MOAS-GL917-00005",46.8485,-124.95383,2023-03-11T03:24:44.000Z,1,*0000000000000100,560,SKQ202304S_001.hex,*0000000000000100,1,*0000000000000100,2023-03-11T03:44:09.000Z,559.104,*0000000000000100,553.724,46.84812,-124.95313,5.2787,*0000000000000100,5.2778,*0000000000000100,3.316659,*0000000000000100,3.319055,*0000000000000100,34.0906,34.1189,0.6469,*0000000010000100,7.06948,0.0255,*0000000010000100,0.087,97.8493,*0000000000000100,7.393,*0000000000000100,0.715,*0000000000000100,*0000000000001000,0.00183,0.03474,1.04465,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ202304S,CE09,"CE09OSSM-00016, CE09OSPM-00018, CE09OSSM-00015, CE09OSPM-00017, CE05MOAS-GL312-00014, CE05MOAS-GL917-00005",46.8485,-124.95383,2023-03-11T03:24:44.000Z,1,*0000000000000100,560,SKQ202304S_001.hex,*0000000000000100,3,*0000000000000100,2023-03-11T03:48:07.000Z,505.494,*0000000000000100,500.693,46.84804,-124.953,5.4392,*0000000000000100,5.4391,*0000000000000100,3.326821,*0000000010000100,3.329307,*0000000010000100,34.0707,34.0991,0.7753,*0000000010000100,7.04365,0.021,*0000000010000100,0.0907,97.7568,*0000000000000100,7.401,*0000000010000100,0.825,*0000000000000100,*0000000000001000,0.00183,0.0418,1.03743,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,34.097,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,2347.58,*0000000000000101,*0000000000000100,1237.82,21.6,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2349.22,-9999999,-9999999,7.57,63.87,2240.71,43.01,0.904,0.585
SKQ202304S,CE09,"CE09OSSM-00016, CE09OSPM-00018, CE09OSSM-00015, CE09OSPM-00017, CE05MOAS-GL312-00014, CE05MOAS-GL917-00005",46.8485,-124.95383,2023-03-11T03:24:44.000Z,1,*0000000000000100,560,SKQ202304S_001.hex,*0000000000000100,3,*0000000000000100,2023-03-11T03:48:07.000Z,505.494,*0000000000000100,500.693,46.84804,-124.953,5.4392,*0000000000000100,5.4391,*0000000000000100,3.326821,*0000000000000100,3.329307,*0000000000000100,34.0707,34.0991,0.7753,*0000000010000100,7.04365,0.021,*0000000010000100,0.0907,97.7568,*0000000000000100,7.401,*0000000000000100,0.847,*0000000000000100,*0000000000001000,0.00142,0.0385,1.03161,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ202304S,CE09,"CE09OSSM-00016, CE09OSPM-00018, CE09OSSM-00015, CE09OSPM-00017, CE05MOAS-GL312-00014, CE05MOAS-GL917-00005",46.8485,-124.95383,2023-03-11T03:24:44.000Z,1,*0000000000000100,560,SKQ202304S_001.hex,*0000000000000100,5,*0000000000000100,2023-03-11T03:56:14.000Z,203.2,*0000000000000100,201.417,46.84764,-124.9523,7.1197,*0000000000000100,7.1177,*0000000000000100,3.45155,*0000000000000100,3.453964,*0000000000000100,33.9353,33.9637,1.9313,*0000000010000100,6.77989,0.0215,*0000000000000100,0.0763,98.1092,*0000000000000100,7.501,*0000000000000100,2.024,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ202304S,CE09,"CE09OSSM-00016, CE09OSPM-00018, CE09OSSM-00015, CE09OSPM-00017, CE05MOAS-GL312-00014, CE05MOAS-GL917-00005",46.8485,-124.95383,2023-03-11T03:24:44.000Z,1,*0000000000000100,560,SKQ202304S_001.hex,*0000000000000100,5,*0000000000000100,2023-03-11T03:56:14.000Z,203.2,*0000000000000100,201.417,46.84764,-124.9523,7.1197,*0000000000000100,7.1177,*0000000000000100,3.45155,*0000000000000100,3.453964,*0000000000000100,33.9353,33.9637,1.9313,*0000000010000100,6.77989,0.0215,*0000000000000100,0.0763,98.1092,*0000000000000100,7.501,*0000000000000100,2.001,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ202304S,CE09,"CE09OSSM-00016, CE09OSPM-00018, CE09OSSM-00015, CE09OSPM-00017, CE05MOAS-GL312-00014, CE05MOAS-GL917-00005",46.8485,-124.95383,2023-03-11T03:24:44.000Z,1,*0000000000000100,560,SKQ202304S_001.hex,*0000000000000100,7,*0000000000000100,2023-03-11T04:02:55.000Z,39.898,*0000000000000100,39.563,46.84752,-124.9521,8.2248,*0000000000000100,8.2241,*0000000000000100,3.366512,*0000000010000100,3.368921,*0000000010000100,32.0517,32.0778,6.3781,*0000000010000100,6.69375,0.75,*0000000010000100,0.1677,95.8945,*0000000000000100,7.901,*0000000010000100,6.536,*0000000000000100,*0000000000001000,0.61109,0.32152,1.58382,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,32.0829,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,2054.62,*0000000000000101,*0000000000000100,402.11,21.6,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2199.86,-9999999,-9999999,8.027,19.05,1926.86,108.71,2.547,1.649
SKQ202304S,CE09,"CE09OSSM-00016, CE09OSPM-00018, CE09OSSM-00015, CE09OSPM-00017, CE05MOAS-GL312-00014, CE05MOAS-GL917-00005",46.8485,-124.95383,2023-03-11T03:24:44.000Z,1,*0000000000000100,560,SKQ202304S_001.hex,*0000000000000100,7,*0000000000000100,2023-03-11T04:02:55.000Z,39.898,*0000000000000100,39.563,46.84752,-124.9521,8.2248,*0000000000000100,8.2241,*0000000000000100,3.366512,*0000000000000100,3.368921,*0000000000000100,32.0517,32.0778,6.3781,*0000000010000100,6.69375,0.75,*0000000010000100,0.1677,95.8945,*0000000000000100,7.901,*0000000000000100,6.538,*0000000000000100,*0000000000001000,0.64858,0.30815,1.60402,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
SKQ202304S,CE09,"CE09OSSM-00016, CE09OSPM-00018, CE09OSSM-00015, CE09OSPM-00017, CE05MOAS-GL312-00014, CE05MOAS-GL917-00005",46.8485,-124.95383,2023-03-11T03:24:44.000Z,1,*0000000000000100,560,SKQ202304S_001.hex,*0000000000000100,9,*0000000000000100,2023-03-11T04:07:03.000Z,8.489,*0000000000000100,8.419,46.8473,-124.95174,8.2481,*0000000000000100,8.2453,*0000000000000100,3.366547,*0000000010000100,3.368773,*0000000010000100,32.045,32.0711,6.4121,*0000000010000100,6.69053,1.0068,*0000000010000100,0.1899,95.3641,*0000000000000100,7.908,*0000000010000100,6.591,*0000000000000100,*0000000000001000,0.6215,0.28512,1.61079,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,32.0745,*0000000000000010,*0000000000000100,-9999999,-9999999,-9999999,2070.81,*0000000000000101,*0000000000000100,383.24,21.5,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2226.18,-9999999,-9999999,8.052,18.15,1937.27,115.39,2.72,1.761
SKQ202304S,CE09,"CE09OSSM-00016, CE09OSPM-00018, CE09OSSM-00015, CE09OSPM-00017, CE05MOAS-GL312-00014, CE05MOAS-GL917-00005",46.8485,-124.95383,2023-03-11T03:24:44.000Z,1,*0000000000000100,560,SKQ202304S_001.hex,*0000000000000100,9,*0000000000000100,2023-03-11T04:07:03.000Z,8.489,*0000000000000100,8.419,46.8473,-124.95174,8.2481,*0000000000000100,8.2453,*0000000000000100,3.366547,*0000000000000100,3.368773,*0000000000000100,32.045,32.0711,6.4121,*0000000010000100,6.69053,1.0068,*0000000010000100,0.1899,95.3641,*0000000000000100,7.908,*0000000000000100,6.587,*0000000000000100,*0000000000001000,0.63608,0.29467,1.60891,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
