Cruise,Station,Target Asset,Start Latitude [degrees],Start Longitude [degrees],Start Time [UTC],Cast,Cast Flag,Bottom Depth at Start Position [m],CTD File,CTD File Flag,Niskin/Bottle Position,Niskin Flag,CTD Bottle Closure Time [UTC],CTD Pressure [db],CTD Pressure Flag,CTD Depth [m],CTD Latitude [deg],CTD Longitude [deg],CTD Temperature 1 [deg C],CTD Temperature 1 Flag,CTD Temperature 2 [deg C],CTD Temperature 2 Flag,CTD Conductivity 1 [S/m],CTD Conductivity 1 Flag,CTD Conductivity 2 [S/m],CTD Conductivity 2 Flag,CTD Salinity 1 [psu],CTD Salinity 2 [psu],CTD Oxygen [mL/L],CTD Oxygen Flag,CTD Oxygen Saturation [mL/L],CTD Fluorescence [mg/m^3],CTD Fluorescence Flag,CTD Beam Attenuation [1/m],CTD Beam Transmission [%],CTD Transmissometer Flag,CTD pH,CTD pH Flag,Discrete Oxygen [mL/L],Discrete Oxygen Flag,Discrete Oxygen Replicate Flag,Discrete Chlorophyll [ug/L],Discrete Phaeopigment [ug/L],Discrete Fo/Fa Ratio,Discrete Fluorescence Flag,Discrete Fluorescence Replicate Flag,Discrete Phosphate [uM],Discrete Silicate [uM],Discrete Nitrate [uM],Discrete Nitrite [uM],Discrete Ammonium [uM],Discrete Nutrients Flag,Discrete Nutrients Replicate Flag,Discrete Salinity [psu],Discrete Salinity Flag,Discrete Salinity Replicate Flag,Discrete Alkalinity [umol/kg],Discrete Alkalinity Flag,Discrete Alkalinity Replicate Flag,Discrete DIC [umol/kg],Discrete DIC Flag,Discrete DIC Replicate Flag,Discrete pCO2 [uatm],pCO2 Analysis Temp [deg C],Discrete pCO2 Flag,Discrete pCO2 Replicate Flag,Discrete pH [Total scale],pH Analysis Temp [deg C],Discrete pH Flag,Discrete pH Replicate Flag,Calculated Alkalinity [umol/kg],Calculated DIC [umol/kg],Calculated pCO2 [uatm],Calculated pH,Calculated CO2aq [umol/kg],Calculated Bicarb [umol/kg],Calculated CO3 [umol/kg],Calculated Omega-C,Calculated Omega-A
AT50-16,CE09,"CE09OSSM-00017, CE09OSPM-00019, and CE09-00016",46.84633,-124.962,2023-09-23T15:01:45.000Z,1,*0000000000000100,560,at5016_001.hex,*0000000000000100,1,*0000000000000100,2023-09-23T15:24:29.000Z,567.022,*0000000000000100,561.554,46.84123,-124.9614,5.1574,*0000000000000100,5.1561,*0000000000000100,3.309439,*0000000000000100,3.310351,*0000000000000100,34.1271,34.1389,0.5865,*0000000010000100,7.0881,0.0345,*0000000010000100,0.1952,95.2379,*0000000000000100,7.575,*0000000010000100,0.715,*0000000000000100,*0000000000001000,0.00158,0.02553,1.05345,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1956.09,*0000000000000101,*0000000000000100,315.09,23.5,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2172.35,-9999999,-9999999,8.124,12.270,1789.150,154.680,3.714,2.432
AT50-16,CE09,"CE09OSSM-00017, CE09OSPM-00019, and CE09-00016",46.84633,-124.962,2023-09-23T15:01:45.000Z,1,*0000000000000100,560,at5016_001.hex,*0000000000000100,1,*0000000000000100,2023-09-23T15:24:29.000Z,567.022,*0000000000000100,561.554,46.84123,-124.9614,5.1574,*0000000000000100,5.1561,*0000000000000100,3.309439,*0000000000000100,3.310351,*0000000000000100,34.1271,34.1389,0.5865,*0000000010000100,7.0881,0.0345,*0000000010000100,0.1952,95.2379,*0000000000000100,7.575,*0000000000000100,0.611,*0000000000000100,*0000000000001000,0.00353,0.02362,1.11938,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-16,CE09,"CE09OSSM-00017, CE09OSPM-00019, and CE09-00016",46.84633,-124.962,2023-09-23T15:01:45.000Z,1,*0000000000000100,560,at5016_001.hex,*0000000000000100,3,*0000000000000100,2023-09-23T15:28:46.000Z,506.565,*0000000000000100,501.754,46.84042,-124.96128,5.515,*0000000000000100,5.514,*0000000000000100,3.334386,*0000000000000100,3.335336,*0000000000000100,34.0796,34.0915,0.8617,*0000000010000100,7.03065,0.0396,*0000000010000100,0.1834,95.519,*0000000000000100,7.6,*0000000010000100,0.894,*0000000000000100,*0000000000001000,0.00341,0.02611,1.10594,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2016.11,*0000000000000101,*0000000000000100,344.40,23.5,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2225.59,-9999999,-9999999,8.100,13.420,1850.980,151.710,3.629,2.377
AT50-16,CE09,"CE09OSSM-00017, CE09OSPM-00019, and CE09-00016",46.84633,-124.962,2023-09-23T15:01:45.000Z,1,*0000000000000100,560,at5016_001.hex,*0000000000000100,3,*0000000000000100,2023-09-23T15:28:46.000Z,506.565,*0000000000000100,501.754,46.84042,-124.96128,5.515,*0000000000000100,5.514,*0000000000000100,3.334386,*0000000000000100,3.335336,*0000000000000100,34.0796,34.0915,0.8617,*0000000010000100,7.03065,0.0396,*0000000010000100,0.1834,95.519,*0000000000000100,7.6,*0000000000000100,0.907,*0000000000000100,*0000000000001000,0.00249,0.02794,1.07519,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-16,CE09,"CE09OSSM-00017, CE09OSPM-00019, and CE09-00016",46.84633,-124.962,2023-09-23T15:01:45.000Z,1,*0000000000000100,560,at5016_001.hex,*0000000000000100,5,*0000000000000100,2023-09-23T15:42:23.000Z,40.25,*0000000000000100,39.913,46.83809,-124.961,8.6656,*0000000000000100,8.6746,*0000000000000100,3.443946,*0000000000000100,3.446219,*0000000000000100,32.4621,32.4777,5.9404,*0000000010000100,6.61021,0.6351,*0000000010000100,0.2302,94.4075,*0000000000000100,8.054,*0000000010000100,6.351,*0000000000000100,*0000000000001000,0.36170,0.21085,1.58009,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,2118.15,*0000000000000101,*0000000000000100,490.39,23.5,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2270.74,-9999999,-9999999,7.967,20.020,1981.830,116.310,2.730,1.783
AT50-16,CE09,"CE09OSSM-00017, CE09OSPM-00019, and CE09-00016",46.84633,-124.962,2023-09-23T15:01:45.000Z,1,*0000000000000100,560,at5016_001.hex,*0000000000000100,5,*0000000000000100,2023-09-23T15:42:23.000Z,40.25,*0000000000000100,39.913,46.83809,-124.961,8.6656,*0000000000000100,8.6746,*0000000000000100,3.443946,*0000000000000100,3.446219,*0000000000000100,32.4621,32.4777,5.9404,*0000000010000100,6.61021,0.6351,*0000000010000100,0.2302,94.4075,*0000000000000100,8.054,*0000000000000100,6.34,*0000000000000100,*0000000000001000,0.36585,0.20860,1.58480,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-16,CE09,"CE09OSSM-00017, CE09OSPM-00019, and CE09-00016",46.84633,-124.962,2023-09-23T15:01:45.000Z,1,*0000000000000100,560,at5016_001.hex,*0000000000000100,7,*0000000000000100,2023-09-23T15:45:06.000Z,26.224,*0000000000000100,26.005,46.83758,-124.96092,10.6137,*0000000000000100,10.5506,*0000000000000100,3.604513,*0000000000000100,3.600294,*0000000000000100,32.3517,32.3656,7.1838,*0000000000000100,6.33792,2.1188,*0000000010000100,0.3542,91.527,*0000000000000100,8.2,*0000000000000100,-9999999,-9999999,-9999999,0.67730,0.32041,1.62335,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-16,CE09,"CE09OSSM-00017, CE09OSPM-00019, and CE09-00016",46.84633,-124.962,2023-09-23T15:01:45.000Z,1,*0000000000000100,560,at5016_001.hex,*0000000000000100,7,*0000000000000100,2023-09-23T15:45:06.000Z,26.224,*0000000000000100,26.005,46.83758,-124.96092,10.6137,*0000000000000100,10.5506,*0000000000000100,3.604513,*0000000000000100,3.600294,*0000000000000100,32.3517,32.3656,7.1838,*0000000000000100,6.33792,2.1188,*0000000010000100,0.3542,91.527,*0000000000000100,8.2,*0000000000000100,-9999999,-9999999,-9999999,0.64200,0.34618,1.59657,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
AT50-16,CE09,"CE09OSSM-00017, CE09OSPM-00019, and CE09-00016",46.84633,-124.962,2023-09-23T15:01:45.000Z,1,*0000000000000100,560,at5016_001.hex,*0000000000000100,9,*0000000000000100,2023-09-23T15:48:15.000Z,8.517,*0000000000000100,8.447,46.83688,-124.96084,16.3401,*0000000000000100,16.3451,*0000000000000100,4.107393,*0000000000000100,4.109012,*0000000000000100,32.208,32.2181,5.927,*0000000010000100,5.63962,0.6093,*0000000010000100,0.308,92.5886,*0000000000000100,8.253,*0000000010000100,5.982,*0000000000000100,*0000000000001000,0.26826,0.09265,1.68251,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,1978.32,*0000000000000101,*0000000000000100,309.83,23.5,*0000000000000101,*0000000000000100,-9999999,-9999999,-9999999,-9999999,2203.17,-9999999,-9999999,8.135,12.040,1805.320,160.960,3.861,2.528
AT50-16,CE09,"CE09OSSM-00017, CE09OSPM-00019, and CE09-00016",46.84633,-124.962,2023-09-23T15:01:45.000Z,1,*0000000000000100,560,at5016_001.hex,*0000000000000100,9,*0000000000000100,2023-09-23T15:48:15.000Z,8.517,*0000000000000100,8.447,46.83688,-124.96084,16.3401,*0000000000000100,16.3451,*0000000000000100,4.107393,*0000000000000100,4.109012,*0000000000000100,32.208,32.2181,5.927,*0000000010000100,5.63962,0.6093,*0000000010000100,0.308,92.5886,*0000000000000100,8.253,*0000000000000100,5.982,*0000000000000100,*0000000000001000,0.28695,0.09684,1.68654,*0000000000000100,*0000000000001000,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999,-9999999
